n_points: 67
{
69.6	136.8
120	116.8
182.4	132.8
219.2	168
239.2	204
34.4	177.6
34.4	240.8
59.2	270.4
101.6	295.2
170.4	302.4
215.2	284.8
212.8	240.8
292	199.2
341.6	219.2
371.2	269.6
343.2	321.6
268	321.6
80.8	324.8
123.2	314.4
185.6	326.4
249.6	341.6
280.8	354.4
300	374.4
277.6	378.4
169.6	356
128	353.6
224.8	368
124	384
136	412.8
157.6	433.6
188	458.4
224	479.2
270.4	490.4
312.8	490.4
364	482.4
418.4	457.6
463.2	424.8
484	380.8
493.6	344.8
492.8	290.4
482.4	256.8
190.4	115.2
221.6	131.2
245.6	156.8
273.6	177.6
311.2	178.4
347.2	199.2
373.6	219.2
389.6	254.4
213.6	332
151.2	315.2
361.6	296.8
240	307.2
133.6	300.8
301.6	328.8
363.2	237.6
24.8	210.4
248.8	486.4
397.6	469.6
444.8	436.8
477.6	396.8
496	316.8
250.4	372.8
201.6	362.4
150.4	352.8
98.4	316.8
105.6	341.6
}
